avaliacao,AG Original,AG Variação 1,AG Variação 2
0,32792.3,32688.6,33748.2
1,33126.6,33215.7,34173.1
2,33478.1,33691.0,34579.9
3,34013.5,34325.8,34657.6
4,34284.5,34636.6,34726.8
5,34327.4,34686.1,34766.6
6,34936.1,34812.5,34827.4
7,35036.2,34901.0,34827.4
8,35088.4,35010.1,34827.4
9,35252.6,35023.8,34827.4
10,35353.5,35080.8,34914.8
11,35353.5,35289.8,34937.2
12,35363.6,35289.8,34961.3
13,35608.2,35314.1,34963.6
14,35608.2,35314.1,34991.9
15,35608.2,35314.1,35107.9
16,35608.2,35506.1,35111.9
17,35608.2,35567.8,35111.9
18,35628.8,35567.8,35111.9
19,35628.8,35567.8,35316.2
20,35634.1,35570.8,35363.3
21,35634.1,35570.8,35363.3
22,35711.0,35570.8,35363.3
23,35711.0,35570.8,35363.3
24,35711.0,35570.8,35363.3
25,35711.0,35598.5,35363.3
26,35711.0,35645.6,35388.1
27,35711.0,35645.6,35388.1
28,35711.0,35645.6,35388.1
29,35711.0,35645.6,35388.1
30,35711.0,35645.6,35418.1
31,35740.3,35645.6,35418.1
32,35752.0,35645.6,35418.1
33,35752.0,35725.7,35418.1
34,35752.0,35725.7,35418.1
35,35752.0,35725.7,35418.1
36,35752.0,35737.4,35418.1
37,35752.0,35878.9,35418.1
38,35752.0,35894.9,35444.1
39,35752.0,35894.9,35444.1
40,35752.0,35894.9,35444.1
41,35752.0,35894.9,35444.1
42,35752.0,35894.9,35444.1
43,35752.0,35894.9,35444.1
44,35752.0,35894.9,35462.5
45,35752.0,35916.4,35462.5
46,35752.0,35940.7,35462.5
47,35752.0,35940.7,35462.5
48,35752.0,35940.7,35462.5
49,35752.0,35940.7,35462.5
50,35752.0,35940.7,35462.5
51,35752.0,35940.7,35462.5
52,35752.0,35940.7,35462.5
53,35752.0,35952.8,35462.5
54,35752.0,35952.8,35656.9
55,35752.0,35952.8,35668.2
56,35752.0,35952.8,35668.2
57,35752.0,36131.1,35668.2
58,35752.0,36131.1,35668.2
59,35752.0,36131.1,35668.2
60,35752.0,36131.1,35668.2
61,35752.0,36131.1,35668.2
62,35752.0,36131.1,35682.0
63,35752.0,36131.1,35750.2
64,35752.0,36131.1,35750.2
65,35752.0,36131.1,35750.2
66,35752.0,36131.1,35805.7
67,35752.0,36234.7,35805.7
68,35752.0,36234.7,35805.7
69,35752.0,36264.1,35805.7
70,35910.0,36264.1,35805.7
71,35910.0,36264.1,35805.7
72,35910.0,36264.1,35805.7
73,35952.3,36264.1,35871.3
74,35952.3,36264.1,35898.3
75,35952.3,36264.1,35898.3
76,35952.3,36264.1,35898.3
77,35952.3,36269.8,35898.3
78,35984.5,36269.8,35898.3
79,35984.5,36269.8,35898.3
80,35984.5,36269.8,35898.3
81,35984.5,36269.8,35898.3
82,35984.5,36269.8,35898.3
83,35984.5,36269.8,35898.3
84,35984.5,36269.8,35898.3
85,35984.5,36269.8,35898.3
86,35984.5,36269.8,35898.3
87,35984.5,36269.8,35898.3
88,35984.5,36269.8,35898.3
89,35984.5,36269.8,35966.5
90,35984.5,36269.8,35966.5
91,35984.5,36269.8,35966.5
92,35984.5,36269.8,35966.5
93,35984.5,36269.8,35966.5
94,35984.5,36269.8,35966.5
95,35984.5,36269.8,35966.5
96,35984.5,36269.8,35966.5
97,35984.5,36269.8,35966.5
98,35984.5,36269.8,35966.5
99,35984.5,36269.8,35966.5
100,35984.5,36269.8,35966.5
101,35984.5,36269.8,35966.5
102,35984.5,36327.7,35966.5
103,35987.9,36416.7,35966.5
104,36048.2,36416.7,35966.5
