avalicao,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10
0,32196,33412,32776,31476,32951,32519,33696,32243,31939,34715
1,32260,33412,32776,32765,32951,32519,33696,32243,33929,34715
2,32660,33412,32776,32765,34095,33026,33986,32243,35103,34715
3,32660,33763,32910,34306,34095,33026,34199,34822,35639,34715
4,34616,33763,32910,34306,34095,33780,34199,34822,35639,34715
5,34616,34192,32910,34306,34095,33780,34199,34822,35639,34715
6,36019,34192,36906,34306,34095,33780,34887,34822,35639,34715
7,36019,34192,36906,34306,35096,33780,34887,34822,35639,34715
8,36019,34192,36906,34306,35096,33780,34887,35344,35639,34715
9,36019,34192,36906,34306,36426,34092,34887,35344,35639,34715
10,36019,34192,36906,35315,36426,34092,34887,35344,35639,34715
11,36019,34192,36906,35315,36426,34092,34887,35344,35639,34715
12,36019,34293,36906,35315,36426,34092,34887,35344,35639,34715
13,36019,34293,36906,35315,36426,35266,34887,35344,35639,35987
14,36019,34293,36906,35315,36426,35266,34887,35344,35639,35987
15,36019,34293,36906,35315,36426,35266,34887,35344,35639,35987
16,36019,34293,36906,35315,36426,35266,34887,35344,35639,35987
17,36019,34293,36906,35315,36426,35266,34887,35344,35639,35987
18,36019,34499,36906,35315,36426,35266,34887,35344,35639,35987
19,36019,34499,36906,35315,36426,35266,34887,35344,35639,35987
20,36019,34552,36906,35315,36426,35266,34887,35344,35639,35987
21,36019,34552,36906,35315,36426,35266,34887,35344,35639,35987
22,36019,34552,36906,36084,36426,35266,34887,35344,35639,35987
23,36019,34552,36906,36084,36426,35266,34887,35344,35639,35987
24,36019,34552,36906,36084,36426,35266,34887,35344,35639,35987
25,36019,34552,36906,36084,36426,35266,34887,35344,35639,35987
26,36019,34552,36906,36084,36426,35266,34887,35344,35639,35987
27,36019,34552,36906,36084,36426,35266,34887,35344,35639,35987
28,36019,34552,36906,36084,36426,35266,34887,35344,35639,35987
29,36019,34552,36906,36084,36426,35266,34887,35344,35639,35987
30,36019,34552,36906,36084,36426,35266,34887,35344,35639,35987
31,36019,34845,36906,36084,36426,35266,34887,35344,35639,35987
32,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
33,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
34,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
35,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
36,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
37,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
38,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
39,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
40,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
41,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
42,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
43,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
44,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
45,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
46,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
47,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
48,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
49,36019,34845,36906,36084,36426,35266,35004,35344,35639,35987
