avaliacao,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10
0,34793,31805,33968,32154,33633,31287,31555,33381,32626,31684
1,34793,33925,33968,32154,33633,33195,31572,33381,33852,31684
2,34860,33925,33968,32422,33633,36117,32865,33381,33899,31840
3,34860,34387,34101,32422,34410,36117,34463,33381,34555,34562
4,34860,34387,34101,35530,34410,36117,34463,33381,34555,34562
5,34860,34387,34101,35530,34410,36117,34463,33381,35050,34562
6,34860,34387,34734,35530,34410,36117,34463,34012,35050,34562
7,34860,34387,34734,35530,34410,36117,35348,34012,35050,34562
8,34860,35478,34734,35530,34410,36117,35348,34012,35050,34562
9,34860,35478,34734,35530,34410,36117,35348,34149,35050,34562
10,34860,35478,34734,35530,34410,36117,35348,34719,35050,34562
11,34860,35478,34734,35530,34410,36117,35348,36809,35050,34562
12,34860,35478,34734,35530,34410,36117,35348,36809,35050,34562
13,34860,35478,34977,35530,34410,36117,35348,36809,35050,34562
14,34860,35478,34977,35530,34410,36117,35348,36809,35050,34562
15,34860,35478,34977,35530,34410,36117,35348,36809,35050,34562
16,34860,35478,36897,35530,34410,36117,35348,36809,35050,34562
17,34860,35478,36897,35530,34410,36117,35348,36809,35050,35179
18,34860,35478,36897,35530,34410,36117,35348,36809,35050,35179
19,34860,35478,36897,35530,34410,36117,35348,36809,35050,35179
20,34890,35478,36897,35530,34410,36117,35348,36809,35050,35179
21,34890,35478,36897,35530,34410,36117,35348,36809,35050,35179
22,34890,35478,36897,35530,34410,36117,35348,36809,35050,35179
23,34890,35478,36897,35530,34410,36117,35348,36809,35050,35179
24,34890,35478,36897,35530,34410,36117,35348,36809,35050,35179
25,34890,35478,36897,35530,34687,36117,35348,36809,35050,35179
26,34890,35949,36897,35530,34687,36117,35348,36809,35050,35179
27,34890,35949,36897,35530,34687,36117,35348,36809,35050,35179
28,34890,35949,36897,35530,34687,36117,35348,36809,35050,35179
29,34890,35949,36897,35530,34687,36117,35348,36809,35050,35179
30,34890,35949,36897,35530,34687,36117,35348,36809,35050,35179
31,34890,35949,36897,35530,34687,36117,35348,36809,35050,35179
32,34890,35949,36897,35530,34687,36117,35348,36809,35050,35179
33,34890,35949,36897,35530,34687,36117,35348,36809,35050,35980
34,34890,35949,36897,35530,34687,36117,35348,36809,35050,35980
35,34890,35949,36897,35530,34687,36117,35348,36809,35050,35980
36,34890,35949,36897,35647,34687,36117,35348,36809,35050,35980
37,34890,35949,36897,35647,36102,36117,35348,36809,35050,35980
38,34890,35949,36897,35647,36102,36117,35348,36809,35210,35980
39,34890,35949,36897,35647,36102,36117,35348,36809,35210,35980
40,34890,35949,36897,35647,36102,36117,35348,36809,35210,35980
41,34890,35949,36897,35647,36102,36117,35348,36809,35210,35980
42,34890,35949,36897,35647,36102,36117,35348,36809,35210,35980
43,34890,35949,36897,35647,36102,36117,35348,36809,35210,35980
44,34890,35949,36897,35647,36102,36117,35348,36809,35210,35980
45,35105,35949,36897,35647,36102,36117,35348,36809,35210,35980
46,35105,35949,36897,35890,36102,36117,35348,36809,35210,35980
47,35105,35949,36897,35890,36102,36117,35348,36809,35210,35980
48,35105,35949,36897,35890,36102,36117,35348,36809,35210,35980
49,35105,35949,36897,35890,36102,36117,35348,36809,35210,35980
50,35105,35949,36897,35890,36102,36117,35348,36809,35210,35980
51,35105,35949,36897,35890,36102,36117,35348,36809,35210,35980
52,35105,35949,36897,35890,36102,36117,35348,36809,35210,35980
53,35105,35949,36897,35890,36102,36117,35469,36809,35210,35980
54,35105,35949,36897,35890,36102,36117,35469,36809,35210,35980
55,35105,35949,36897,35890,36102,36117,35469,36809,35210,35980
56,35105,35949,36897,35890,36102,36117,35469,36809,35210,35980
57,35105,35949,36897,37673,36102,36117,35469,36809,35210,35980
58,35105,35949,36897,37673,36102,36117,35469,36809,35210,35980
59,35105,35949,36897,37673,36102,36117,35469,36809,35210,35980
60,35105,35949,36897,37673,36102,36117,35469,36809,35210,35980
61,35105,35949,36897,37673,36102,36117,35469,36809,35210,35980
62,35105,35949,36897,37673,36102,36117,35469,36809,35210,35980
63,35105,35949,36897,37673,36102,36117,35469,36809,35210,35980
64,35105,35949,36897,37673,36102,36117,35469,36809,35210,35980
65,35105,35949,36897,37673,36102,36117,35469,36809,35210,35980
66,35105,35949,36897,37673,36102,36117,35469,36809,35210,35980
67,36141,35949,36897,37673,36102,36117,35469,36809,35210,35980
68,36141,35949,36897,37673,36102,36117,35469,36809,35210,35980
69,36141,35949,36897,37673,36102,36117,35469,36809,35504,35980
70,36141,35949,36897,37673,36102,36117,35469,36809,35504,35980
71,36141,35949,36897,37673,36102,36117,35469,36809,35504,35980
72,36141,35949,36897,37673,36102,36117,35469,36809,35504,35980
73,36141,35949,36897,37673,36102,36117,35469,36809,35504,35980
74,36141,35949,36897,37673,36102,36117,35469,36809,35504,35980
75,36141,35949,36897,37673,36102,36117,35469,36809,35504,35980
76,36141,35949,36897,37673,36102,36117,35469,36809,35504,35980
77,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
78,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
79,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
80,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
81,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
82,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
83,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
84,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
85,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
86,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
87,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
88,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
89,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
90,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
91,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
92,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
93,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
94,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
95,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
96,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
97,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
98,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
99,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
100,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
101,36141,35949,36897,37673,36102,36117,35526,36809,35504,35980
102,36141,35949,36897,37673,36102,36117,35526,36809,36083,35980
103,36141,36839,36897,37673,36102,36117,35526,36809,36083,35980
104,36141,36839,36897,37673,36102,36117,35526,36809,36083,35980
105,36141,36839,36897,37673,36102,36117,35526,36809,36083,35980
106,36141,36839,36897,37673,36102,36117,35526,36809,36083,35980
107,36141,36839,36897,37673,36102,36117,35526,36809,36083,35980
108,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
109,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
110,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
111,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
112,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
113,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
114,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
115,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
116,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
117,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
118,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
119,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
120,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
121,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
122,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
123,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
124,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
125,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
126,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
127,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
128,36141,36839,36897,37673,36102,36117,36215,36809,36083,35980
129,36141,36839,36897,37673,36618,36117,36215,36809,36083,35980
130,36141,36839,36897,37673,36618,36117,36215,36809,36083,35980
131,36141,36839,36897,37673,36618,36117,36215,36809,36083,35980
132,36141,36839,36897,37673,36618,36117,36215,36809,36083,35980
133,36141,36839,36897,37673,36618,36117,36215,36809,36083,35980
134,36141,36839,36897,37673,36618,36117,36215,36809,36083,35980
135,36141,36839,36897,37673,36618,36117,36215,36809,36083,35980
136,36141,36839,37423,37673,36618,36117,36215,36809,36083,35980
137,36141,36839,37423,37673,36618,36117,36215,36809,36083,35980
138,36141,36839,37423,37673,36618,36117,36215,36809,36083,35980
139,36141,36839,37423,37673,36618,36117,36215,36809,36083,35980
140,36141,36839,37423,37673,36618,36117,36215,36809,36083,35980
141,36141,36839,37423,37673,36618,36117,36215,36809,36083,36210
142,36141,36839,37423,37673,36618,36117,36215,36809,36083,36210
143,36141,36839,37423,37673,36618,36117,36215,36809,36083,36210
144,36141,36839,37423,37673,36618,36117,36215,36809,36083,36210
145,36141,36839,37423,37673,36618,36117,36215,36809,36939,36210
146,36141,36839,37423,37673,36618,36117,36215,36809,36939,36210
147,36141,36839,37423,37673,36618,36117,36215,36809,36939,36210
148,36141,36839,37423,37673,36618,36117,36215,36809,36939,36210
149,36141,36839,37423,37673,36618,36117,36215,36809,36939,36210
150,36141,36839,37423,37673,36618,36117,36215,36809,36939,36210
151,36141,36839,37423,37673,36618,36117,36215,36809,36939,36210
152,36141,36839,37423,37673,36618,36117,36215,36809,36939,36210
153,36141,36839,37423,37673,36618,36937,36215,36809,36939,36210
154,36141,36839,37423,37673,36618,36937,36215,36809,36939,36210
155,36141,36839,37423,37673,36618,36937,36215,36809,36939,36210
156,36141,36839,37423,37673,36618,36937,36215,36809,36939,36210
157,36141,36839,37423,37673,36618,36937,36215,36809,36939,36325
158,36141,36839,37423,37673,36618,36937,36215,36809,36939,36325
159,36141,36839,37423,37673,36618,36937,36215,36809,36939,36325
160,36141,36839,37423,37673,36618,36937,36215,36809,36939,36325
161,36141,36839,37423,37673,36618,36937,36215,36809,36939,36325
162,36141,36839,37423,37673,36618,36937,36215,36809,36939,36325
163,36141,36839,37423,37673,36618,36937,36215,36809,36939,36325
164,36141,36839,37423,37673,36618,36937,36215,36809,36939,36325
165,36141,36839,37423,37673,36618,36937,36215,36809,36939,36325
166,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
167,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
168,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
169,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
170,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
171,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
172,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
173,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
174,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
175,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
176,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
177,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
178,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
179,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
180,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
181,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
182,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
183,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
184,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
185,36141,36839,37689,37673,36618,36937,36215,36809,36939,36325
186,36164,36839,37689,37673,36618,36937,36215,36809,36939,36325
187,36164,36839,37689,37673,36618,36937,36215,36809,36939,36325
188,36164,36839,37689,37673,36618,36937,36246,36809,36939,36325
189,36164,36839,37689,37673,36618,36937,36246,36809,36939,36325
190,36164,36839,37689,37673,36618,36937,36246,36809,36939,36325
191,36164,36839,37689,37673,36618,36937,36246,36809,36939,36325
192,36164,36839,37689,37673,36618,36937,36246,36809,36939,36325
193,36164,36839,37689,37673,36618,36937,36246,36809,36939,36325
194,36164,36839,37689,37673,36618,36937,36246,36809,36939,36325
195,36164,36839,37689,37673,36618,36937,36246,36809,36939,36325
196,36164,36839,37689,37673,36618,36937,36246,36809,36939,36325
197,36164,36839,37689,37673,36618,36937,36246,36809,36939,36325
198,36164,36839,37689,37673,36618,36937,36659,36809,36939,36325
199,36164,36839,37689,37673,36618,36937,36659,36809,36939,36325
200,36164,36839,37689,37673,36618,36937,36659,36809,36939,37065
201,36164,36839,37689,37673,36618,36937,36659,36809,36939,37065
202,36164,36839,37689,37673,36618,36937,36659,36809,36939,37065
203,36164,36839,37689,37673,36618,36937,36659,36809,36939,37065
204,36164,36839,37689,37673,36618,36937,36659,36809,36939,37065
205,36164,36839,37689,37673,36618,36937,36659,36809,36939,37065
206,36164,36839,37689,37673,36618,36937,36659,36809,36939,37065
207,36164,36839,37689,37673,36618,36937,36659,36809,36939,37855
208,36446,36839,37689,37673,36618,36937,36659,36809,36939,37855
209,36446,36839,37689,37673,36618,36937,36659,36809,36939,37855
210,36446,36839,37689,37673,36618,36937,36659,36809,36939,37855
211,36446,36839,37689,37673,36618,36937,36659,36809,36939,37855
212,36461,36839,37689,37673,36618,36937,36659,36809,36939,37855
213,36461,36839,37689,37673,36618,36937,36659,36809,36939,37855
214,36461,36839,37689,37673,36618,36937,36659,36809,36939,37855
215,36461,36839,37689,37673,36618,37200,36659,36809,36939,37855
216,36461,36839,37689,37673,36618,37200,36659,36809,36939,37855
217,36461,36839,37689,37673,36618,37200,36659,36809,36939,37855
218,36914,36839,37689,37673,36618,37200,36659,36809,36939,37855
219,36914,36839,37689,37673,36696,37200,36659,36809,36939,37855
220,36914,36839,37689,37673,36696,37200,36659,36809,36939,37855
221,36914,36839,37689,37673,36696,37200,36659,36809,36939,37855
222,36914,36839,37689,37673,36696,37200,36659,36809,36939,37855
223,36914,36839,37689,37673,36696,37200,36659,36809,36939,37855
224,36914,36839,37689,37673,36696,37200,36659,36809,36939,37855
225,36914,36839,37689,37673,36696,37200,36659,36809,36939,37855
226,36914,36839,37689,37673,36696,37200,36659,36809,36939,37855
227,36914,36839,37689,37673,36696,37200,36659,36809,36939,37855
228,36914,36839,37689,37673,36696,37200,36659,36809,36939,37855
229,36914,36839,37689,37673,36696,37200,37335,36809,36939,37855
230,36914,36839,37689,37673,36696,37200,37335,36809,36939,37855
231,36914,36839,37689,37673,36696,37200,37335,36809,36939,37855
232,36914,36839,37689,37673,36696,37200,37335,36809,36939,37855
233,36914,36839,37689,37673,36696,37200,37335,36809,36939,37855
234,36914,36839,37689,37673,36696,37200,37335,36809,36939,37855
235,36914,36839,37689,37673,36696,37200,37335,36809,36939,37855
