avaliacao,SA Original,SA Variação 1,SA Variação 2
0,33833.0,33833.0,33833.0
1,33876.5,33859.0,33894.0
2,33876.5,33859.0,33894.0
3,33907.0,33920.0,33894.0
4,33917.0,33920.0,33914.0
5,33917.0,33920.0,33914.0
6,33917.0,33920.0,33914.0
7,33917.0,33920.0,33914.0
8,34002.0,33920.0,34084.0
9,34002.0,33920.0,34084.0
10,34002.0,33920.0,34084.0
11,34002.0,33920.0,34084.0
12,34044.0,33920.0,34168.0
13,34044.0,33920.0,34168.0
14,34055.0,33920.0,34190.0
15,34055.0,33920.0,34190.0
16,34112.5,33920.0,34305.0
17,34169.0,34033.0,34305.0
18,34169.0,34033.0,34305.0
19,34197.0,34033.0,34361.0
20,34255.5,34033.0,34478.0
21,34255.5,34033.0,34478.0
22,34255.5,34033.0,34478.0
23,34255.5,34033.0,34478.0
24,34261.0,34033.0,34489.0
25,34261.0,34033.0,34489.0
26,34359.0,34033.0,34685.0
27,34359.0,34033.0,34685.0
28,34455.0,34033.0,34877.0
29,34455.0,34033.0,34877.0
30,34455.0,34033.0,34877.0
31,34455.0,34033.0,34877.0
32,34455.0,34033.0,34877.0
33,34455.0,34033.0,34877.0
34,34455.0,34033.0,34877.0
35,34455.0,34033.0,34877.0
36,34496.0,34033.0,34959.0
37,34496.0,34033.0,34959.0
38,34514.0,34069.0,34959.0
39,34514.0,34069.0,34959.0
40,34581.0,34203.0,34959.0
41,34581.0,34203.0,34959.0
42,34581.0,34203.0,34959.0
43,34581.0,34203.0,34959.0
44,34581.0,34203.0,34959.0
45,34581.0,34203.0,34959.0
46,34581.0,34203.0,34959.0
47,34581.0,34203.0,34959.0
48,34600.5,34242.0,34959.0
49,34600.5,34242.0,34959.0
50,34665.5,34372.0,34959.0
51,34677.5,34372.0,34983.0
52,34677.5,34372.0,34983.0
53,34677.5,34372.0,34983.0
54,34769.5,34556.0,34983.0
55,34893.0,34619.0,35167.0
56,34893.0,34619.0,35167.0
57,34893.0,34619.0,35167.0
58,34893.0,34619.0,35167.0
59,34893.0,34619.0,35167.0
60,34915.0,34663.0,35167.0
61,34988.5,34810.0,35167.0
62,34992.0,34810.0,35174.0
63,35016.5,34859.0,35174.0
64,35058.5,34899.0,35218.0
65,35146.5,34899.0,35394.0
66,35183.5,34973.0,35394.0
67,35270.5,35147.0,35394.0
68,35270.5,35147.0,35394.0
69,35270.5,35147.0,35394.0
70,35295.0,35196.0,35394.0
71,35354.0,35314.0,35394.0
72,35377.5,35314.0,35441.0
73,35444.0,35331.0,35557.0
74,35471.0,35385.0,35557.0
75,35477.5,35398.0,35557.0
76,35477.5,35398.0,35557.0
77,35478.0,35399.0,35557.0
78,35478.0,35399.0,35557.0
79,35494.5,35432.0,35557.0
80,35528.5,35432.0,35625.0
81,35600.0,35432.0,35768.0
82,35600.0,35432.0,35768.0
83,35600.0,35432.0,35768.0
84,35600.0,35432.0,35768.0
85,35600.0,35432.0,35768.0
86,35600.0,35432.0,35768.0
87,35643.5,35519.0,35768.0
88,35643.5,35519.0,35768.0
89,35691.0,35532.0,35850.0
