step,best_fitness_media,best_fitness_execucao_1,best_fitness_execucao_2,best_fitness_execucao_3,best_fitness_execucao_4,best_fitness_execucao_5,best_fitness_execucao_6,best_fitness_execucao_7,best_fitness_execucao_8,best_fitness_execucao_9,best_fitness_execucao_10
1,50638.3,50617.0,50649.0,50617.0,50617.0,50694.0,50646.0,50618.0,50691.0,50617.0,50617.0
2,50644.1,50617.0,50649.0,50649.0,50617.0,50694.0,50646.0,50618.0,50691.0,50629.0,50631.0
3,50644.1,50617.0,50649.0,50649.0,50617.0,50694.0,50646.0,50618.0,50691.0,50629.0,50631.0
4,50656.0,50674.0,50649.0,50649.0,50617.0,50694.0,50646.0,50680.0,50691.0,50629.0,50631.0
5,50662.3,50674.0,50649.0,50649.0,50617.0,50694.0,50660.0,50691.0,50691.0,50650.0,50648.0
6,50664.2,50674.0,50649.0,50668.0,50617.0,50694.0,50660.0,50691.0,50691.0,50650.0,50648.0
7,50669.8,50674.0,50649.0,50668.0,50641.0,50694.0,50692.0,50691.0,50691.0,50650.0,50648.0
8,50669.8,50674.0,50649.0,50668.0,50641.0,50694.0,50692.0,50691.0,50691.0,50650.0,50648.0
9,50669.8,50674.0,50649.0,50668.0,50641.0,50694.0,50692.0,50691.0,50691.0,50650.0,50648.0
10,50671.9,50674.0,50649.0,50668.0,50649.0,50694.0,50692.0,50691.0,50691.0,50663.0,50648.0
11,50674.5,50674.0,50649.0,50694.0,50649.0,50694.0,50692.0,50691.0,50691.0,50663.0,50648.0
12,50674.5,50674.0,50649.0,50694.0,50649.0,50694.0,50692.0,50691.0,50691.0,50663.0,50648.0
13,50679.8,50674.0,50649.0,50694.0,50674.0,50694.0,50692.0,50691.0,50691.0,50663.0,50676.0
14,50681.4,50674.0,50665.0,50694.0,50674.0,50694.0,50692.0,50691.0,50691.0,50663.0,50676.0
15,50681.4,50674.0,50665.0,50694.0,50674.0,50694.0,50692.0,50691.0,50691.0,50663.0,50676.0
16,50682.7,50674.0,50678.0,50694.0,50674.0,50694.0,50692.0,50691.0,50691.0,50663.0,50676.0
17,50682.7,50674.0,50678.0,50694.0,50674.0,50694.0,50692.0,50691.0,50691.0,50663.0,50676.0
18,50682.7,50674.0,50678.0,50694.0,50674.0,50694.0,50692.0,50691.0,50691.0,50663.0,50676.0
19,50682.7,50674.0,50678.0,50694.0,50674.0,50694.0,50692.0,50691.0,50691.0,50663.0,50676.0
20,50684.6,50674.0,50678.0,50694.0,50692.0,50694.0,50692.0,50691.0,50691.0,50664.0,50676.0
21,50684.6,50674.0,50678.0,50694.0,50692.0,50694.0,50692.0,50691.0,50691.0,50664.0,50676.0
22,50684.6,50674.0,50678.0,50694.0,50692.0,50694.0,50692.0,50691.0,50691.0,50664.0,50676.0
