geracao;tempo_geracao_s;tempo_callback_s;valor_acumulado_melhor_geracao;peso_acumulado_melhor_geracao;quantidade_itens_melhor_geracao;fitness_medio_populacao;fitness_pior_populacao;melhor_valor_global_ate_agora;peso_melhor_global_ate_agora;quantidade_itens_melhor_global_ate_agora;geracao_melhor_global;houve_melhoria_global
1;0.116621;0.000186;37617;32057;556;34800.98;32918.0;37617;32057;556;1;True
2;0.04846;0.000102;37743;32153;559;36068.02;34077.0;37743;32153;559;2;True
3;0.031344;8.5e-05;38385;32705;568;36835.15;35046.0;38385;32705;568;3;True
4;0.030126;7.6e-05;38989;33229;576;37652.22;36418.0;38989;33229;576;4;True
5;0.028672;7.9e-05;39672;33852;582;38240.07;36752.0;39672;33852;582;5;True
6;0.03652;0.000146;40419;34469;595;38850.09;37207.0;40419;34469;595;6;True
7;0.044591;9.1e-05;40606;34676;593;39175.27;37490.0;40606;34676;593;7;True
8;0.031586;7.9e-05;40716;34716;600;39684.42;38536.0;40716;34716;600;8;True
9;0.029304;8.1e-05;41116;35046;607;40053.53;38711.0;41116;35046;607;9;True
10;0.029679;7.9e-05;41116;35046;607;40211.47;39239.0;41116;35046;607;9;False
11;0.028808;0.000124;42157;35967;619;40548.28;39541.0;42157;35967;619;11;True
12;0.031273;8.4e-05;42510;36300;621;40981.51;39583.0;42510;36300;621;12;True
13;0.030354;7.7e-05;42510;36300;621;41383.92;39790.0;42510;36300;621;12;False
14;0.031997;7.7e-05;43091;36811;628;41708.56;40566.0;43091;36811;628;14;True
15;0.032574;8.2e-05;43091;36811;628;41995.15;40873.0;43091;36811;628;14;False
16;0.029297;8.3e-05;43276;36936;634;42190.64;40470.0;43276;36936;634;16;True
17;0.028321;7.7e-05;43309;37009;630;42522.42;41336.0;43309;37009;630;17;True
18;0.027573;7.5e-05;43800;37420;638;42743.89;41516.0;43800;37420;638;18;True
19;0.028377;7.7e-05;44064;37704;636;42969.33;41833.0;44064;37704;636;19;True
20;0.028586;7.4e-05;44112;37722;639;43259.86;42176.0;44112;37722;639;20;True
21;0.027122;7e-05;44410;38030;638;43348.75;42288.0;44410;38030;638;21;True
22;0.029024;7.3e-05;44664;38144;652;43485.37;42353.0;44664;38144;652;22;True
23;0.028434;7.3e-05;45113;38633;648;43709.24;42348.0;45113;38633;648;23;True
24;0.033544;0.000117;45121;38621;650;44033.07;42824.0;45121;38621;650;24;True
25;0.037754;8.2e-05;45485;38885;660;44330.7;43302.0;45485;38885;660;25;True
26;0.03041;7.9e-05;45857;39237;662;44540.08;43301.0;45857;39237;662;26;True
27;0.032295;8.5e-05;46343;39633;671;44688.83;43600.0;46343;39633;671;27;True
28;0.028588;7.8e-05;46343;39633;671;44994.07;43981.0;46343;39633;671;27;False
29;0.032142;0.000138;46407;39707;670;45286.49;44245.0;46407;39707;670;29;True
30;0.031213;7.7e-05;46806;40036;677;45459.47;44376.0;46806;40036;677;30;True
31;0.02789;7.8e-05;46806;40036;677;45535.58;44233.0;46806;40036;677;30;False
32;0.02706;7.5e-05;47153;40373;678;45794.05;44826.0;47153;40373;678;32;True
33;0.02638;7.6e-05;47425;40545;688;46005.36;44913.0;47425;40545;688;33;True
34;0.03037;8.3e-05;47425;40545;688;46170.7;44830.0;47425;40545;688;33;False
35;0.028342;8e-05;47545;40645;690;46317.97;44984.0;47545;40645;690;35;True
36;0.027093;7.2e-05;47826;40956;687;46511.84;45412.0;47826;40956;687;36;True
37;0.027037;7.6e-05;47897;40957;694;46551.48;45555.0;47897;40957;694;37;True
38;0.027343;7.6e-05;47993;41093;690;46703.01;45175.0;47993;41093;690;38;True
39;0.027489;7.6e-05;48007;41117;689;46922.96;45788.0;48007;41117;689;39;True
40;0.027571;7.6e-05;48126;41196;693;47075.73;45757.0;48126;41196;693;40;True
41;0.028254;8e-05;48401;41461;694;47261.34;46126.0;48401;41461;694;41;True
42;0.027314;7.9e-05;48503;41483;702;47372.64;46333.0;48503;41483;702;42;True
43;0.027678;7.5e-05;48961;41921;704;47464.49;46331.0;48961;41921;704;43;True
44;0.027106;8e-05;48961;41921;704;47668.91;46317.0;48961;41921;704;43;False
45;0.02758;7e-05;48961;41921;704;47811.16;46884.0;48961;41921;704;43;False
46;0.027804;7.4e-05;49132;42062;707;47892.03;46896.0;49132;42062;707;46;True
47;0.026714;8.6e-05;49132;42062;707;47951.13;47049.0;49132;42062;707;46;False
48;0.029166;7.7e-05;49132;42062;707;48000.99;47019.0;49132;42062;707;46;False
49;0.028442;7.3e-05;49169;42049;712;48082.97;47125.0;49169;42049;712;49;True
50;0.026194;7.1e-05;49300;42170;713;48028.04;47012.0;49300;42170;713;50;True
51;0.026983;7.1e-05;49300;42170;713;48086.42;46880.0;49300;42170;713;50;False
52;0.027213;6.9e-05;49300;42170;713;48056.05;46636.0;49300;42170;713;50;False
53;0.02664;0.000122;49301;42181;712;48145.42;46830.0;49301;42181;712;53;True
54;0.026294;0.000107;49301;42181;712;48200.53;47126.0;49301;42181;712;53;False
55;0.025218;0.000135;49301;42181;712;48383.88;47132.0;49301;42181;712;53;False
56;0.026078;0.000127;49301;42181;712;48386.98;47458.0;49301;42181;712;53;False
57;0.025578;0.000103;49303;42193;711;48491.37;47221.0;49303;42193;711;57;True
58;0.025278;6.5e-05;49325;42195;713;48490.78;47542.0;49325;42195;713;58;True
59;0.025202;9.9e-05;49392;42182;721;48607.53;46834.0;49392;42182;721;59;True
60;0.025656;0.000108;49403;42203;720;48815.65;47988.0;49403;42203;720;60;True
61;0.025549;0.000105;49427;42197;723;48922.65;48029.0;49427;42197;723;61;True
62;0.025583;0.0001;49446;42196;725;48765.53;47767.0;49446;42196;725;62;True
63;0.026399;0.000111;49463;42193;727;48876.84;47448.0;49463;42193;727;63;True
64;0.027953;0.000113;49463;42193;727;48889.59;47896.0;49463;42193;727;63;False
65;0.026604;9.8e-05;49463;42193;727;48862.05;47626.0;49463;42193;727;63;False
66;0.026866;0.000106;49463;42193;727;48981.98;47895.0;49463;42193;727;63;False
67;0.025656;0.00011;49463;42193;727;48799.71;47959.0;49463;42193;727;63;False
68;0.025973;0.000106;49463;42193;727;48776.63;47683.0;49463;42193;727;63;False
69;0.02708;0.000129;49463;42193;727;48797.38;47490.0;49463;42193;727;63;False
70;0.028417;0.000108;49463;42193;727;48869.18;47827.0;49463;42193;727;63;False
71;0.027321;0.000103;49478;42198;728;48942.6;47908.0;49478;42198;728;71;True
72;0.026914;0.000201;49478;42198;728;48865.59;47660.0;49478;42198;728;71;False
73;0.027408;0.00011;49478;42198;728;48750.62;47606.0;49478;42198;728;71;False
74;0.030284;0.000112;49478;42198;728;48732.61;47841.0;49478;42198;728;71;False
75;0.027911;0.000104;49478;42198;728;48615.75;47642.0;49478;42198;728;71;False
76;0.027442;9.9e-05;49478;42198;728;48818.34;47571.0;49478;42198;728;71;False
77;0.025852;9.8e-05;49478;42198;728;48916.22;47806.0;49478;42198;728;71;False
78;0.024806;9.8e-05;49519;42189;733;48878.04;47838.0;49519;42189;733;78;True
79;0.024707;9.6e-05;49519;42189;733;48775.46;47741.0;49519;42189;733;78;False
80;0.025135;0.0001;49519;42189;733;48772.98;47757.0;49519;42189;733;78;False
81;0.024983;9.6e-05;49519;42189;733;48796.05;47716.0;49519;42189;733;78;False
82;0.026612;0.000105;49519;42189;733;48732.81;47233.0;49519;42189;733;78;False
83;0.026294;0.000172;49519;42189;733;48972.18;47787.0;49519;42189;733;78;False
