geracao;tempo_geracao_s;tempo_acumulado_s;valor_acumulado_melhor_geracao;peso_acumulado_melhor_geracao;quantidade_itens_melhor_geracao;fitness_medio_populacao;fitness_pior_populacao;melhor_valor_global_ate_agora;peso_melhor_global_ate_agora;quantidade_itens_melhor_global_ate_agora;geracao_melhor_global;houve_melhoria_global
1;0.252903;0.252903;134305;50885;2005;131481.13;128209.0;134305;50885;2005;1;True
100;0.308589;29.540421;150541;50842;2201;148919.23;147141.0;150541;50842;2201;91;False
200;0.340337;62.306556;151579;50890;2207;149973.98;148975.0;151579;50890;2207;187;False
300;0.351904;95.749741;152093;50870;2211;150047.14;148701.0;152093;50870;2211;298;False
400;0.336571;129.629504;152872;50886;2243;150709.94;149505.0;152872;50886;2243;394;False
500;0.333945;164.009274;152872;50886;2243;150915.9;149716.0;152872;50886;2243;394;False
600;0.362951;197.985664;153289;50840;2255;151093.38;149909.0;153289;50840;2255;548;False
700;0.342608;231.924336;153289;50840;2255;151302.71;150127.0;153289;50840;2255;548;False
800;0.324987;266.111036;153289;50840;2255;151015.81;149706.0;153289;50840;2255;548;False
900;0.322408;300.193692;153356;50871;2252;151279.84;150057.0;153356;50871;2252;862;False
1000;0.320634;334.989335;153356;50871;2252;151409.5;150322.0;153356;50871;2252;862;False
