bloco_inicio;bloco_fim;geracao_representativa;melhor_valor_no_bloco;geracao_do_melhor_valor_no_bloco;peso_do_melhor_valor_no_bloco;itens_do_melhor_valor_no_bloco;melhor_global_ao_final_do_bloco;peso_melhor_global_ao_final_do_bloco;itens_melhor_global_ao_final_do_bloco;media_valor_melhor_geracao_no_bloco;media_fitness_populacao_no_bloco;media_itens_melhor_geracao_no_bloco;media_peso_melhor_geracao_no_bloco;tempo_total_bloco_s;tempo_medio_geracao_bloco_s;quantidade_melhorias_globais_no_bloco
1;100;100;150541;91;50842;2201;150541;50842;2201;146857.38;145320.286;2165.96;50868.52;29.540421;0.295404;49
101;200;200;151579;187;50890;2207;151579;50890;2207;151126.53;149397.5189;2209.17;50863.2;32.766137;0.327661;12
201;300;300;152093;298;50870;2211;152093;50870;2211;151637.62;149773.3669;2209.52;50867.8;33.443185;0.334432;2
301;400;400;152872;394;50886;2243;152872;50886;2243;152572.11;150597.9537;2226.24;50869.7;33.879765;0.338798;7
401;500;500;152872;401;50886;2243;152872;50886;2243;152872.0;150887.5268;2243.0;50886.0;34.379772;0.343798;0
501;600;600;153289;548;50840;2255;153289;50840;2255;153098.9;151083.6558;2249.19;50854.96;33.976392;0.339764;3
601;700;700;153289;601;50840;2255;153289;50840;2255;153289.0;151209.5384;2255.0;50840.0;33.93867;0.339387;0
701;800;800;153289;701;50840;2255;153289;50840;2255;153289.0;151175.5878;2255.0;50840.0;34.186699;0.341867;0
801;900;900;153356;862;50871;2252;153356;50871;2252;153315.13;151206.1373;2253.83;50852.09;34.082657;0.340827;1
901;1000;1000;153356;901;50871;2252;153356;50871;2252;153356.0;151226.7987;2252.0;50871.0;34.795642;0.347956;0
