geracao;tempo_geracao_s;tempo_callback_s
1;0.116621;0.000186
2;0.04846;0.000102
3;0.031344;8.5e-05
4;0.030126;7.6e-05
5;0.028672;7.9e-05
6;0.03652;0.000146
7;0.044591;9.1e-05
8;0.031586;7.9e-05
9;0.029304;8.1e-05
10;0.029679;7.9e-05
11;0.028808;0.000124
12;0.031273;8.4e-05
13;0.030354;7.7e-05
14;0.031997;7.7e-05
15;0.032574;8.2e-05
16;0.029297;8.3e-05
17;0.028321;7.7e-05
18;0.027573;7.5e-05
19;0.028377;7.7e-05
20;0.028586;7.4e-05
21;0.027122;7e-05
22;0.029024;7.3e-05
23;0.028434;7.3e-05
24;0.033544;0.000117
25;0.037754;8.2e-05
26;0.03041;7.9e-05
27;0.032295;8.5e-05
28;0.028588;7.8e-05
29;0.032142;0.000138
30;0.031213;7.7e-05
31;0.02789;7.8e-05
32;0.02706;7.5e-05
33;0.02638;7.6e-05
34;0.03037;8.3e-05
35;0.028342;8e-05
36;0.027093;7.2e-05
37;0.027037;7.6e-05
38;0.027343;7.6e-05
39;0.027489;7.6e-05
40;0.027571;7.6e-05
41;0.028254;8e-05
42;0.027314;7.9e-05
43;0.027678;7.5e-05
44;0.027106;8e-05
45;0.02758;7e-05
46;0.027804;7.4e-05
47;0.026714;8.6e-05
48;0.029166;7.7e-05
49;0.028442;7.3e-05
50;0.026194;7.1e-05
51;0.026983;7.1e-05
52;0.027213;6.9e-05
53;0.02664;0.000122
54;0.026294;0.000107
55;0.025218;0.000135
56;0.026078;0.000127
57;0.025578;0.000103
58;0.025278;6.5e-05
59;0.025202;9.9e-05
60;0.025656;0.000108
61;0.025549;0.000105
62;0.025583;0.0001
63;0.026399;0.000111
64;0.027953;0.000113
65;0.026604;9.8e-05
66;0.026866;0.000106
67;0.025656;0.00011
68;0.025973;0.000106
69;0.02708;0.000129
70;0.028417;0.000108
71;0.027321;0.000103
72;0.026914;0.000201
73;0.027408;0.00011
74;0.030284;0.000112
75;0.027911;0.000104
76;0.027442;9.9e-05
77;0.025852;9.8e-05
78;0.024806;9.8e-05
79;0.024707;9.6e-05
80;0.025135;0.0001
81;0.024983;9.6e-05
82;0.026612;0.000105
83;0.026294;0.000172
84;0.027226;0.000104
85;0.026633;0.000111
86;0.02772;0.000116
87;0.02921;0.000114
88;0.02991;0.000117
89;0.032418;0.000158
90;0.028215;0.000107
91;0.028423;0.000115
92;0.030717;0.00011
93;0.027158;0.0001
94;0.025525;0.000114
95;0.024656;0.000107
96;0.025121;0.000103
97;0.024994;0.00012
98;0.024934;0.000117
99;0.02547;0.000106
100;0.026016;0.001155
101;0.026564;0.000111
102;0.026497;0.000138
103;0.028959;0.000184
104;0.031882;0.000114
105;0.028064;0.000107
106;0.029472;0.000116
107;0.027067;0.000116
108;0.026987;7e-05
109;0.028018;7.2e-05
110;0.030476;0.000126
111;0.029924;0.000124
112;0.030571;0.000116
113;0.029508;0.000115
114;0.029457;0.000117
115;0.027951;0.000111
116;0.027738;0.000112
117;0.029251;0.000132
118;0.029848;0.000105
119;0.027509;0.000101
120;0.028286;0.000102
121;0.026592;0.000104
122;0.027845;0.000102
123;0.027276;0.000128
124;0.027044;0.000109
125;0.028358;0.000126
126;0.029844;0.000128
127;0.03443;0.000123
128;0.029982;0.000109
129;0.027951;0.000104
130;0.025992;0.000105
131;0.02656;0.000175
132;0.026028;0.000103
133;0.026869;0.000112
134;0.027833;0.00011
135;0.028069;0.000112
136;0.029461;0.000109
137;0.02914;0.000117
138;0.027682;0.000109
139;0.029336;0.000116
140;0.031594;0.000139
141;0.031626;0.000116
142;0.029001;0.000117
143;0.033156;0.000217
144;0.030619;0.000114
145;0.037693;0.000141
146;0.03398;0.000171
147;0.036446;0.000154
148;0.035905;0.000129
149;0.033438;0.000144
150;0.034745;0.000129
151;0.035899;0.000153
152;0.054907;0.000273
153;0.044745;0.000146
154;0.050775;0.000139
155;0.04034;0.000135
156;0.033576;0.000124
157;0.031646;0.000118
158;0.035157;0.000205
159;0.034405;0.000121
160;0.031591;0.00012
161;0.031415;0.000125
162;0.030827;0.000125
163;0.030645;0.000166
164;0.030096;0.000117
165;0.036838;0.000126
166;0.035405;0.000259
167;0.030727;0.000112
168;0.032136;0.000118
169;0.031589;0.000116
170;0.032059;0.000119
171;0.037911;0.000244
172;0.029937;0.000125
173;0.029748;0.000122
174;0.031261;0.00014
175;0.030879;0.000128
176;0.031378;0.00012
177;0.030979;0.000138
178;0.028281;0.000145
179;0.029075;0.000122
180;0.028855;0.000114
181;0.029184;0.00016
182;0.031755;0.000191
183;0.029764;0.000119
184;0.028629;0.000156
185;0.028899;0.00012
186;0.028826;0.000114
187;0.030446;0.000121
188;0.030416;0.000116
189;0.028469;0.000153
190;0.02791;0.000108
191;0.02921;0.000124
192;0.028339;0.000103
193;0.028145;0.000104
194;0.029402;0.000107
195;0.029455;0.000116
196;0.030237;0.000108
197;0.028345;0.000122
198;0.027271;0.000105
199;0.027452;0.000106
200;0.028413;0.000701
201;0.027314;0.000169
202;0.028042;0.000105
203;0.028283;0.000105
204;0.03389;0.000209
205;0.029205;0.000112
206;0.02759;0.000113
207;0.028082;0.000106
208;0.027955;0.000118
209;0.02801;0.000107
210;0.02763;0.000193
211;0.028162;0.000106
212;0.027773;0.000102
213;0.027614;0.000105
214;0.027349;0.000109
215;0.027898;0.000111
216;0.027521;0.000108
217;0.02868;0.000108
218;0.028046;0.000109
219;0.029322;7e-05
220;0.028164;6.9e-05
221;0.028309;7e-05
222;0.027839;6.4e-05
223;0.028354;7.1e-05
224;0.028532;6.9e-05
225;0.028016;0.000111
226;0.028702;6.8e-05
227;0.027827;6.9e-05
228;0.027803;7.1e-05
229;0.027197;7.6e-05
230;0.027455;0.00013
231;0.028842;7.5e-05
232;0.027513;6.5e-05
233;0.027278;6.9e-05
234;0.028046;7.1e-05
235;0.027072;6.5e-05
236;0.027245;6.8e-05
237;0.027185;9.8e-05
238;0.027236;0.000106
239;0.02657;0.000106
240;0.026655;0.000105
241;0.026999;0.000102
242;0.026162;0.000143
243;0.027076;0.000106
244;0.028084;0.000112
245;0.027051;0.000107
246;0.02737;0.00011
247;0.028783;0.00013
248;0.028623;0.000117
249;0.028715;0.000115
250;0.029042;0.000282
251;0.03018;0.000113
252;0.029134;0.000112
253;0.029127;0.000105
254;0.027779;0.000109
255;0.028119;0.000115
256;0.028505;0.000113
257;0.027765;0.000117
258;0.028486;0.000108
259;0.028446;0.000106
260;0.027813;0.000109
261;0.02836;0.000118
262;0.028357;0.000111
263;0.027847;0.000101
264;0.027795;0.000104
265;0.027567;0.000168
266;0.027933;0.000104
267;0.027392;0.000115
