avaliacao,SA Original,SA Variação 1,SA Variação 2
0,32690.7,32690.7,32690.7
1,32736.8,32736.8,32753.3
2,32778.2,32778.2,32835.7
3,32827.8,32827.8,32877.7
4,32885.1,32885.1,32942.1
5,32906.4,32906.4,32944.5
6,32918.9,32918.9,32974.1
7,32961.1,32961.1,33004.5
8,32994.1,32994.1,33083.2
9,33001.6,33001.6,33106.7
10,33005.8,33005.8,33139.6
11,33010.7,33010.7,33228.8
12,33049.3,33049.3,33292.2
13,33072.8,33072.8,33328.5
14,33095.1,33095.1,33399.4
15,33114.3,33114.3,33440.4
16,33124.7,33124.7,33503.8
17,33188.6,33188.6,33514.9
18,33215.1,33215.1,33547.9
19,33238.7,33238.7,33607.3
20,33274.7,33274.7,33661.0
21,33292.3,33292.3,33733.0
22,33323.3,33323.3,33812.2
23,33335.2,33335.2,33825.0
24,33379.3,33379.3,33886.8
25,33428.4,33428.4,33913.4
26,33467.2,33467.2,33981.6
27,33488.2,33488.2,34043.0
28,33509.5,33509.5,34088.6
29,33525.9,33525.9,34122.1
30,33543.9,33543.9,34142.3
31,33565.2,33565.2,34194.9
32,33572.8,33572.8,34203.5
33,33575.2,33575.2,34289.3
34,33592.2,33592.2,34355.6
35,33621.2,33621.2,34359.4
36,33630.6,33630.6,34411.9
37,33644.9,33644.9,34471.1
38,33674.6,33674.6,34506.7
39,33715.9,33715.9,34538.6
40,33729.3,33729.3,34555.9
41,33752.2,33752.2,34561.5
42,33818.7,33818.7,34571.5
43,33854.0,33854.0,34622.6
44,33878.6,33878.6,34662.6
45,33883.1,33883.1,34721.7
46,33913.2,33913.2,34763.1
47,33935.7,33935.7,34778.4
48,33955.4,33955.4,34806.0
49,33964.4,33964.4,34825.1
50,34017.2,34017.2,34834.7
51,34047.0,34047.0,34876.9
52,34085.2,34085.2,34960.9
53,34091.5,34091.5,34990.8
54,34128.9,34128.9,35055.0
55,34151.9,34151.9,35140.7
56,34198.2,34198.2,35157.1
57,34218.2,34218.2,35174.8
58,34243.3,34243.3,35203.4
59,34286.6,34286.6,35211.8
60,34298.8,34298.8,35262.0
61,34355.4,34355.4,35289.3
62,34376.8,34376.8,35290.0
63,34418.0,34418.0,35294.5
64,34448.6,34448.6,35318.1
65,34494.4,34494.4,35377.1
66,34501.8,34501.8,35378.8
67,34549.3,34549.3,35386.0
68,34618.5,34618.5,35399.1
69,34619.9,34619.9,35494.3
70,34637.2,34637.2,35587.4
71,34665.8,34665.8,35623.5
72,34693.4,34693.4,35696.5
73,34696.4,34696.4,35733.2
74,34730.6,34730.6,35746.8
75,34754.6,34754.6,35777.1
76,34759.5,34759.5,35797.4
77,34782.9,34782.9,35829.3
78,34791.8,34791.8,35859.2
