avaliacao,sa1,sa2,sa3,sa4,sa5,sa6,sa7,sa8,sa9,sa10
0,33833,33485,33622,31923,32516,32142,32417,33200,30516,33253
1,33859,33485,33622,32112,32568,32142,32520,33200,30516,33344
2,33859,33485,33622,32149,32615,32229,32520,33200,30690,33413
3,33920,33485,33622,32149,32811,32229,32619,33200,30801,33442
4,33920,33485,33728,32149,32942,32229,32749,33200,31007,33442
5,33920,33485,33728,32166,32942,32229,32749,33330,31073,33442
6,33920,33485,33742,32166,32942,32229,32749,33437,31077,33442
7,33920,33485,33786,32207,33098,32229,32749,33437,31207,33493
8,33920,33485,33786,32207,33250,32229,32749,33437,31328,33550
9,33920,33485,33786,32207,33262,32229,32777,33437,31363,33550
10,33920,33485,33786,32207,33262,32229,32816,33440,31363,33550
11,33920,33512,33786,32207,33262,32229,32816,33440,31385,33550
12,33920,33649,33786,32248,33374,32229,32824,33473,31440,33550
13,33920,33799,33786,32268,33374,32229,32824,33538,31440,33550
14,33920,33799,33892,32369,33390,32229,32824,33538,31440,33550
15,33920,33799,33892,32424,33390,32229,32825,33641,31440,33583
16,33920,33799,33892,32424,33415,32229,32825,33641,31440,33662
17,34033,33799,33985,32555,33595,32229,32825,33682,31440,33743
18,34033,33846,33985,32608,33595,32229,32899,33688,31440,33828
19,34033,34004,33985,32608,33595,32229,32970,33688,31447,33828
20,34033,34159,33985,32608,33595,32229,32970,33721,31556,33891
21,34033,34159,33985,32730,33595,32229,32970,33742,31589,33891
22,34033,34159,33985,32730,33595,32229,32970,33793,31747,33992
23,34033,34159,33985,32754,33595,32229,32970,33830,31747,34050
24,34033,34159,34054,32769,33595,32341,33052,33851,31822,34117
25,34033,34329,34054,32769,33595,32437,33120,33994,31836,34117
26,34033,34467,34075,32842,33595,32593,33120,33994,31836,34117
27,34033,34467,34075,33052,33595,32593,33120,33994,31836,34117
28,34033,34467,34075,33054,33595,32673,33251,33994,31836,34117
29,34033,34467,34075,33054,33595,32673,33415,33994,31836,34117
30,34033,34467,34075,33054,33595,32673,33415,33994,31899,34234
31,34033,34467,34075,33054,33595,32673,33424,33994,32064,34273
32,34033,34467,34075,33054,33595,32706,33467,33994,32064,34273
33,34033,34467,34075,33054,33595,32706,33467,34018,32064,34273
34,34033,34467,34081,33054,33595,32706,33478,34171,32064,34273
35,34033,34467,34208,33054,33595,32744,33485,34250,32064,34312
36,34033,34467,34255,33054,33595,32744,33485,34297,32064,34312
37,34033,34467,34361,33054,33595,32772,33485,34297,32073,34312
38,34069,34612,34361,33159,33595,32772,33485,34297,32073,34323
39,34069,34738,34361,33310,33595,32772,33485,34297,32073,34459
40,34203,34738,34361,33310,33595,32772,33485,34297,32073,34459
41,34203,34738,34361,33310,33595,32893,33485,34312,32166,34459
42,34203,34868,34516,33310,33666,33049,33485,34318,32313,34459
43,34203,34868,34680,33310,33666,33049,33485,34318,32502,34459
44,34203,34868,34799,33310,33666,33049,33485,34318,32629,34459
45,34203,34868,34799,33310,33666,33049,33485,34318,32629,34504
46,34203,34930,34818,33310,33666,33049,33495,34318,32688,34655
47,34203,34930,34818,33381,33666,33049,33515,34318,32818,34659
48,34242,34970,34818,33385,33666,33110,33515,34318,32818,34712
49,34242,34991,34818,33454,33666,33110,33515,34318,32818,34712
50,34372,35127,34818,33535,33666,33163,33515,34318,32818,34840
51,34372,35263,34818,33535,33718,33163,33515,34318,32928,34840
52,34372,35263,34818,33651,33900,33163,33515,34318,32928,34924
53,34372,35263,34818,33651,33900,33163,33543,34353,32928,34924
54,34556,35263,34818,33651,33900,33239,33543,34418,32928,34973
55,34619,35263,34818,33651,33900,33364,33543,34460,32928,34973
56,34619,35263,34818,33683,34036,33364,33543,34460,33038,35158
57,34619,35263,34948,33683,34036,33422,33543,34472,33038,35158
58,34619,35263,34985,33683,34036,33422,33543,34535,33189,35158
59,34619,35263,35190,33683,34124,33422,33543,34535,33329,35158
60,34663,35263,35214,33683,34124,33422,33543,34535,33383,35158
61,34810,35263,35350,33737,34124,33481,33543,34535,33553,35158
62,34810,35427,35400,33737,34124,33481,33543,34535,33553,35158
63,34859,35427,35425,33925,34124,33481,33543,34535,33593,35268
64,34899,35496,35518,33925,34124,33585,33543,34535,33593,35268
65,34899,35534,35690,33925,34124,33773,33543,34535,33597,35324
66,34973,35534,35690,33925,34124,33773,33543,34535,33597,35324
67,35147,35534,35690,33925,34124,33844,33543,34573,33639,35474
68,35147,35534,35779,33925,34124,34057,33627,34726,33792,35474
69,35147,35534,35779,33934,34124,34057,33627,34731,33792,35474
70,35196,35534,35779,33934,34124,34171,33627,34731,33792,35484
71,35314,35534,35779,33934,34124,34311,33627,34731,33792,35512
72,35314,35534,35919,33934,34133,34311,33627,34731,33919,35512
73,35331,35534,35919,33934,34133,34311,33627,34731,33932,35512
74,35385,35547,35919,34067,34181,34405,33627,34731,33932,35512
75,35398,35752,35919,34081,34181,34405,33627,34731,33940,35512
76,35398,35752,35919,34081,34183,34405,33641,34764,33940,35512
77,35399,35801,35919,34081,34229,34416,33641,34764,34067,35512
78,35399,35801,35919,34081,34231,34417,33690,34801,34067,35512
79,35432,35819,35919,34105,34231,34478,33727,34832,34067,35512
80,35432,35820,35919,34148,34231,34478,33790,34877,34139,35512
81,35432,35946,35919,34274,34231,34478,33934,34877,34139,35512
82,35432,35946,35919,34286,34231,34545,33934,34929,34139,35512
83,35432,35946,35919,34286,34231,34545,34057,34990,34139,35512
84,35432,35996,35919,34340,34274,34690,34197,34996,34139,35512
85,35432,36008,35919,34340,34312,34708,34368,34996,34139,35543
86,35432,36008,35919,34340,34312,34708,34368,35050,34139,35569
87,35519,36008,35919,34376,34312,34708,34368,35172,34139,35569
88,35519,36011,35919,34414,34312,34708,34368,35172,34139,35569
89,35532,36011,35919,34414,34312,34708,34368,35172,34247,35585
90,35687,36011,36028,34468,34312,34708,34368,35172,34247,35585
91,35687,36011,36028,34468,34312,34750,34372,35172,34247,35585
92,35693,36011,36028,34468,34312,34750,34417,35179,34247,35585
93,35693,36027,36028,34468,34312,34750,34417,35179,34277,35585
94,35693,36027,36028,34468,34430,34849,34417,35179,34282,35585
95,35693,36027,36028,34468,34430,34849,34417,35179,34282,35585
96,35693,36112,36028,34568,34430,34849,34417,35285,34297,35585
97,35693,36112,36028,34568,34624,34849,34417,35285,34324,35585
98,35693,36161,36028,34620,34642,34849,34417,35347,34383,35585
99,35693,36161,36028,34620,34680,34849,34417,35347,34383,35705
100,35693,36293,36028,34620,34680,34849,34417,35347,34383,35855
101,35693,36293,36028,34620,34680,34849,34417,35347,34383,35855
102,35693,36293,36201,34620,34680,34926,34417,35487,34383,35855
